scfs_names
fish_id
site_id
year
day
month
location
fish_num
species
length
height
Lep_cope
chalA
chalB
Lep_PAmale
Lep_PAfemale
Lep_male
Lep_nongravid
Lep_gravid
Caligus_cope
Caligus_mot
Caligus_gravid
unid_cope
chal_unid
unid_PA
unid_adult
chal_scar
pred_scar
mot_scar
hem
mateguarding
eroded_gill
white_eye
blue_blotches
pinched_belly
scales
comments
salt
temp
salmon_captured
salmon_examined
pink_examined
chum_examined
sockeye_examined
morts_recovery
morts_other
P_ratio
C_ratio
latitude
longitude
bycatch
notes
